Date,Apple,Tesla,Microsoft,Amazon,NVIDIA
2022-11-04,136.6103973388672,207.47000122070312,216.37142944335938,90.9800033569336,14.140791893005371
2022-11-07,137.14352416992188,197.0800018310547,222.70452880859375,90.52999877929688,14.285635948181152
2022-11-08,137.71607971191406,191.3000030517578,223.6818389892578,89.9800033569336,14.586313247680664
2022-11-09,133.14529418945312,177.58999633789062,219.42068481445312,86.13999938964844,13.761202812194824
2022-11-10,144.99183654785156,190.72000122070312,237.47201538085938,96.62999725341797,15.733081817626953
2022-11-11,147.78565979003906,195.97000122070312,241.50839233398438,100.79000091552734,16.309459686279297
2022-11-14,146.38380432128906,190.9499969482422,236.07444763183594,98.48999786376953,16.27749252319336
2022-11-15,148.1212921142578,194.4199981689453,236.4849395751953,98.94000244140625,16.64809799194336
2022-11-16,146.88729858398438,186.9199981689453,236.91612243652344,97.12000274658203,15.892908096313477
2022-11-17,148.79261779785156,183.1699981689453,236.8671417236328,94.8499984741211,15.660160064697266
2022-11-18,149.3553009033203,180.19000244140625,236.41629028320312,94.13999938964844,15.39244556427002
2022-11-21,146.1172637939453,167.8699951171875,237.2297821044922,92.45999908447266,15.30054759979248
2022-11-22,148.25949096679688,169.91000366210938,240.15040588378906,93.19999694824219,16.02077293395996
2022-11-23,149.1381378173828,183.1999969482422,242.64962768554688,94.12999725341797,16.501253128051758
2022-11-25,146.2159881591797,182.86000061035156,242.5614471435547,93.41000366210938,16.252521514892578
2022-11-28,142.37574768066406,182.9199981689453,236.94552612304688,93.94999694824219,15.80999755859375
2022-11-29,139.36471557617188,180.8300018310547,235.5440216064453,92.41999816894531,15.622198104858398
2022-11-30,146.13699340820312,194.6999969482422,250.05906677246094,96.54000091552734,16.90914535522461
2022-12-01,146.41343688964844,194.6999969482422,249.61801147460938,95.5,17.120969772338867
2022-12-02,145.91981506347656,194.86000061035156,249.9414825439453,94.12999725341797,16.862180709838867
2022-12-05,144.75489807128906,182.4499969482422,245.2174530029297,91.01000213623047,16.59640121459961
2022-12-06,141.08248901367188,179.82000732421875,240.2386016845703,88.25,15.973910331726074
2022-12-07,139.13768005371094,174.0399932861328,239.50355529785156,88.45999908447266,16.106801986694336
2022-12-08,140.82577514648438,173.44000244140625,242.47320556640625,90.3499984741211,17.154945373535156
2022-12-09,140.3420867919922,179.0500030517578,240.5326690673828,89.08999633789062,16.987079620361328
2022-12-12,142.64227294921875,167.82000732421875,247.48146057128906,90.55000305175781,17.52064323425293
2022-12-13,143.6097412109375,160.9499969482422,251.80364990234375,92.48999786376953,18.057205200195312
2022-12-14,141.37864685058594,156.8000030517578,252.09768676757812,91.58000183105469,17.659528732299805
2022-12-15,134.7544403076172,157.6699981689453,244.05113220214844,88.44999694824219,16.938119888305664
2022-12-16,132.7898712158203,150.22999572753906,239.81719970703125,87.86000061035156,16.557432174682617
2022-12-19,130.67724609375,149.8699951171875,235.66163635253906,84.91999816894531,16.240690231323242
2022-12-20,130.608154296875,137.8000030517578,236.9847412109375,85.19000244140625,16.07183074951172
2022-12-21,133.71788024902344,137.57000732421875,239.56236267089844,86.7699966430664,16.487485885620117
2022-12-22,130.53907775878906,125.3499984741211,233.44662475585938,83.79000091552734,15.32644271850586
2022-12-23,130.1737518310547,123.1500015258789,233.9758758544922,85.25,15.193550109863281
2022-12-27,128.36717224121094,109.0999984741211,232.24114990234375,83.04000091552734,14.109439849853516
2022-12-28,124.42821502685547,112.70999908447266,229.85952758789062,81.81999969482422,14.024507522583008
2022-12-29,127.95257568359375,121.81999969482422,236.2104949951172,84.18000030517578,14.591044425964355
2022-12-30,128.2684326171875,123.18000030517578,235.04415893554688,84.0,14.602034568786621
2023-01-03,123.47061920166016,108.0999984741211,234.80897521972656,85.81999969482422,14.303278923034668
2023-01-04,124.7441177368164,113.63999938964844,224.53768920898438,85.13999938964844,14.736926078796387
2023-01-05,123.42125701904297,110.33999633789062,217.88287353515625,83.12000274658203,14.25332260131836
2023-01-06,127.96241760253906,113.05999755859375,220.45068359375,86.08000183105469,14.846834182739258
2023-01-09,128.48562622070312,119.7699966430664,222.59707641601562,87.36000061035156,15.615204811096191
2023-01-10,129.05819702148438,118.8499984741211,224.29261779785156,89.87000274658203,15.895976066589355
2023-01-11,131.782958984375,123.22000122070312,231.07484436035156,95.08999633789062,15.987898826599121
2023-01-12,131.70396423339844,123.55999755859375,233.76023864746094,95.2699966430664,16.497482299804688
2023-01-13,133.03671264648438,122.4000015258789,234.4659423828125,98.12000274658203,16.88516616821289
2023-01-17,134.2016143798828,131.49000549316406,235.5636444091797,96.05000305175781,17.68750762939453
2023-01-18,133.48095703125,128.77999877929688,231.11402893066406,95.45999908447266,17.362773895263672
2023-01-19,133.54019165039062,127.16999816894531,227.31126403808594,93.68000030517578,16.751270294189453
2023-01-20,136.10691833496094,133.4199981689453,235.4362030029297,97.25,17.82439422607422
2023-01-23,139.3054656982422,143.75,237.7492218017578,97.5199966430664,19.177288055419922
2023-01-24,140.70733642578125,143.88999938964844,237.21995544433594,96.31999969482422,19.249223709106445
2023-01-25,140.0459442138672,144.42999267578125,235.8184356689453,97.18000030517578,19.307178497314453
2023-01-26,142.11904907226562,160.27000427246094,243.06129455566406,99.22000122070312,19.785785675048828
2023-01-27,144.06387329101562,177.89999389648438,243.21810913085938,102.23999786376953,20.348325729370117
2023-01-30,141.17132568359375,166.66000366210938,237.8766326904297,100.55000305175781,19.14631462097168
2023-01-31,142.44483947753906,173.22000122070312,242.87506103515625,103.12999725341797,19.521005630493164
2023-02-01,143.5702667236328,181.41000366210938,247.71670532226562,105.1500015258789,20.92585563659668
2023-02-02,148.89134216308594,188.27000427246094,259.3306579589844,112.91000366210938,21.691225051879883
2023-02-03,152.52426147460938,189.97999572753906,253.2051544189453,103.38999938964844,21.082721710205078
2023-02-06,149.7896728515625,194.75999450683594,251.65663146972656,102.18000030517578,21.07173728942871
2023-02-07,152.67236328125,196.80999755859375,262.23175048828125,102.11000061035156,22.154848098754883
2023-02-08,149.9772491455078,201.2899932861328,261.4182434082031,100.05000305175781,22.186819076538086
2023-02-09,148.94068908691406,207.32000732421875,258.3701477050781,98.23999786376953,22.31871223449707
2023-02-10,149.30650329589844,196.88999938964844,257.8605041503906,97.61000061035156,21.247587203979492
2023-02-13,152.1144561767578,194.63999938964844,265.9169006347656,99.54000091552734,21.77016258239746
2023-02-14,151.4718017578125,209.25,266.74993896484375,99.69999694824219,22.952192306518555
2023-02-15,153.57778930664062,214.24000549316406,264.6178283691406,101.16000366210938,22.745361328125
2023-02-16,151.97607421875,202.0399932861328,257.572998046875,98.1500015258789,21.98398780822754
2023-02-17,150.8291473388672,208.30999755859375,253.55441284179688,97.19999694824219,21.370487213134766
2023-02-21,146.8050537109375,197.3699951171875,248.25851440429688,94.58000183105469,20.638090133666992
2023-02-22,147.23019409179688,200.86000061035156,247.11880493164062,95.79000091552734,20.73700714111328
2023-02-23,147.7146759033203,202.07000732421875,250.32186889648438,95.81999969482422,23.644624710083008
2023-02-24,145.0550537109375,196.8800048828125,244.86875915527344,93.5,23.266935348510742
2023-02-27,146.2513885498047,207.6300048828125,245.79234313964844,93.76000213623047,23.48175811767578
2023-02-28,145.7471160888672,205.7100067138672,245.0652618408203,94.2300033569336,23.196989059448242
2023-03-01,143.67079162597656,202.77000427246094,241.97027587890625,92.16999816894531,22.679414749145508
2023-03-02,144.2640380859375,190.89999389648438,246.7257843017578,92.12999725341797,23.294912338256836
2023-03-03,149.32627868652344,197.7899932861328,250.83279418945312,94.9000015258789,23.870441436767578
2023-03-06,152.09471130371094,193.80999755859375,252.3852081298828,93.75,23.53471565246582
2023-03-07,149.8898468017578,187.7100067138672,249.7126922607422,93.55000305175781,23.272886276245117
2023-03-08,151.14553833007812,182.0,249.2705535888672,93.91999816894531,24.165306091308594
2023-03-09,148.89125061035156,172.9199981689453,247.91468811035156,92.25,23.420791625976562
2023-03-10,146.82484436035156,173.44000244140625,244.24974060058594,90.7300033569336,22.95009422302246
2023-03-13,148.77261352539062,174.47999572753906,249.4866943359375,92.43000030517578,22.951091766357422
2023-03-14,150.86866760253906,183.25999450683594,256.23675537109375,94.87999725341797,24.047380447387695
2023-03-15,151.26417541503906,180.4499969482422,260.8055725097656,96.19999694824219,24.2122745513916
2023-03-16,154.0919189453125,184.1300048828125,271.3777160644531,100.04000091552734,25.52442169189453
2023-03-17,153.25152587890625,180.1300048828125,274.55133056640625,98.94999694824219,25.708303451538086
2023-03-20,155.62442016601562,183.25,267.4770202636719,97.70999908447266,25.88319206237793
2023-03-21,157.48321533203125,197.5800018310547,268.99993896484375,100.61000061035156,26.18199348449707
2023-03-22,156.04957580566406,191.14999389648438,267.5359802246094,98.69999694824219,26.45081901550293
